"","n_obs","lon.sepalo","ancho.sepalo","especies"
"1",149,"6.2","3.4","virginica"
"2",84,"6","2.7","versicolor"
"3",32,"5.4","3.4","setosa"
"4",120,"6","2.2000000000000002","virginica"
"5",145,"6.7","3.3","virginica"
"6",3,"4.7","3.2","setosa"
"7",35,"?","3.1","setosa"
"8",64,"6.1","2.9","versicolor"
"9",69,"6.2","2.2000000000000002","versicolor"
"10",30,"4.7","3.2","setosa"
"11",15,"5.8","4","setosa"
"12",27,"5","3.4","setosa"
"13",57,"6.3","3.3","versicolor"
"14",55,"6.5","2.8","versicolor"
"15",88,"6.3","2.2999999999999998","versicolor"
"16",142,"6.9","3.1","virginica"
"17",12,"4.8","3.4","setosa"
"18",100,"5.7","2.8","versicolor"
"19",134,"6.3","2.8","virginica"
"20",143,"5.8","2.7","virginica"
"21",71,"5.9","3.2","versicolor"
"22",123,"7.7","2.8","virginica"
"23",148,"6.5","3","virginica"
"24",9,"4.4000000000000004","2.9","setosa"
"25",97,"5.7","2.9","versicolor"
"26",113,"6.8","3","virginica"
"27",22,"5.0999999999999996","3.7","setosa"
"28",75,"6.4","2.9","versicolor"
"29",85,"5.4","3","versicolor"
"30",87,"6.7","3.1","versicolor"
"31",54,"5.5","2.2999999999999998","versicolor"
"32",107,"4.9000000000000004","2.5","virginica"
"33",136,"7.7","3","virginica"
"34",128,"6.1","3","virginica"
"35",83,"5.8","2.7","versicolor"
"36",16,"5.7","4.4000000000000004","setosa"
"37",99,"5.0999999999999996","2.5","versicolor"
"38",5,"5","3.6","setosa"
"39",80,"5.7","2.6","versicolor"
"40",93,"5.8","2.6","versicolor"
"41",105,"6.5","3","virginica"
"42",131,"7.4","2.8","virginica"
"43",147,"6.3","2.5","virginica"
"44",17,"5.4","3.9","setosa"
"45",33,"5.2","4.0999999999999996","setosa"
"46",65,"5.6","2.9","versicolor"
"47",111,"6.5","3.2","virginica"
"48",112,"6.4","2.7","virginica"
"49",20,"5.0999999999999996","3.8","setosa"
"50",24,"5.0999999999999996","3.3","setosa"
"51",29,"5.2","3.4","setosa"
"52",137,"6.3","3.4","virginica"
"53",31,"4.8","3.1","setosa"
"54",14,"4.3","3","setosa"
"55",38,"4.9000000000000004","3.6","setosa"
"56",70,"5.6","2.5","versicolor"
"57",47,"5.0999999999999996","3.8","setosa"
"58",117,"6.5","3","virginica"
"59",8,"5","3.4","setosa"
"60",49,"5.3","3.7","setosa"
"61",122,"5.6","2.8","virginica"
"62",101,"6.3","3.3","virginica"
"63",124,"6.3","2.7","virginica"
"64",42,"4.5","2.2999999999999998","setosa"
"65",141,"6.7","3.1","virginica"
"66",66,"6.7","3.1","versicolor"
"67",94,"5","2.2999999999999998","versicolor"
"68",51,"7","3.2","versicolor"
"69",68,"5.8","2.7","versicolor"
"70",18,"5.0999999999999996","3.5","setosa"
"71",72,"6.1","2.8","versicolor"
"72",10,"4.9000000000000004","3.1","setosa"
"73",36,"5","3.2","setosa"
"74",44,"5","3.5","setosa"
"75",6,"5.4","3.9","setosa"
"76",118,"7.7","3.8","virginica"
"77",150,"5.9","3","virginica"
"78",41,"5","3.5","setosa"
"79",119,"7.7","2.6","virginica"
"80",102,"5.8","2.7","virginica"
"81",144,"6.8","3.2","virginica"
"82",25,"4.8","3.4","setosa"
"83",115,"5.8","2.8","virginica"
"84",43,"4.4000000000000004","3.2","setosa"
"85",98,"6.2","2.9","versicolor"
"86",108,"7.3","2.9","virginica"
"87",130,"7.2","3","virginica"
"88",48,"4.5999999999999996","3.2","setosa"
"89",91,"5.5","2.6","versicolor"
"90",103,"7.1","3","virginica"
"91",56,"5.7","2.8","versicolor"
"92",73,"6.3","2.5","versicolor"
"93",86,"6","3.4","versicolor"
"94",60,"5.2","2.7","versicolor"
"95",126,"7.2","3.2","virginica"
"96",127,"6.2","2.8","virginica"
"97",23,"4.5999999999999996","3.6","setosa"
"98",92,"6.1","3","versicolor"
"99",140,"6.9","3.1","virginica"
"100",52,"6.4","3.2","versicolor"
"101",82,"5.5","2.4","versicolor"
"102",109,"6.7","2.5","virginica"
"103",121,"6.9","3.2","virginica"
"104",78,"6.7","3","versicolor"
"105",37,"5.5","3.5","setosa"
"106",146,"6.7","3","virginica"
"107",26,"5","3","setosa"
"108",40,"5.0999999999999996","3.4","setosa"
"109",19,"5.7","3.8","setosa"
"110",74,"6.1","2.8","versicolor"
"111",21,"5.4","3.4","setosa"
"112",129,"6.4","2.8","virginica"
"113",4,"4.5999999999999996","3.1","setosa"
"114",67,"5.6","3","versicolor"
"115",96,"5.7","3","versicolor"
"116",45,"5.0999999999999996","3.8","setosa"
"117",89,"5.6","3","versicolor"
"118",77,"6.8","2.8","versicolor"
"119",2,"4.9000000000000004","3","setosa"
"120",61,"5","2","versicolor"
"121",7,"4.5999999999999996","3.4","setosa"
"122",53,"6.9","3.1","versicolor"
"123",46,"4.8","3","setosa"
"124",95,"5.6","2.7","versicolor"
"125",76,"6.6","3","versicolor"
"126",106,"7.6","3","virginica"
"127",28,"5.2","3.5","setosa"
"128",90,"5.5","2.5","versicolor"
"129",13,"4.8","3","setosa"
"130",50,"5","3.3","setosa"
"131",114,"5.7","2.5","virginica"
"132",34,"5.5","4.2","setosa"
"133",110,"7.2","&","virginica"
"134",133,"6.4","2.8","virginica"
"135",11,"5.4","3.7","setosa"
"136",139,"6","3","virginica"
"137",79,"6","2.9","versicolor"
"138",104,"6.3","2.9","virginica"
"139",138,"6.4","3.1","virginica"
"140",63,"6","2.2000000000000002","versicolor"
"141",116,"6.4","3.2","virginica"
"142",1,"5.0999999999999996","3.5","setosa"
"143",58,"4.9000000000000004","2.4","versicolor"
"144",39,"4.4000000000000004","3","setosa"
"145",135,"6.1","2.6","virginica"
"146",125,"6.7","3.3","virginica"
"147",59,"6.6","2.9","versicolor"
"148",62,"5.9","3","versicolor"
"149",81,"5.5","2.4","versicolor"
"150",132,"7.9","3.8","virginica"
