"","n_obs","lon.petalo","ancho.petalo","especies"
"1",15,"1.2","0.2","setosa"
"2",27,"1.6","0.4","setosa"
"3",57,"4.7","1.6","versicolor"
"4",55,"4.5999999999999996","1.5","versicolor"
"5",88,"4.4000000000000004","1.3","versicolor"
"6",142,"5.0999999999999996","2.2999999999999998","virginica"
"7",12,"1.6","0.2","setosa"
"8",100,"4.0999999999999996","1.3","versicolor"
"9",134,"5.0999999999999996","1.5","virginica"
"10",143,"5.0999999999999996","1.9","virginica"
"11",71,"4.8","1.8","versicolor"
"12",123,"6.7","2","virginica"
"13",148,"5.2","2","virginica"
"14",9,"1.4","0.2","setosa"
"15",97,"4.2","1.3","versicolor"
"16",113,"5.5","2.1","virginica"
"17",22,"1.5","0.4","setosa"
"18",75,"4.3","1.3","versicolor"
"19",85,"4.5","1.5","versicolor"
"20",87,"4.7","1.5","versicolor"
"21",54,"4","1.3","versicolor"
"22",107,"4.5","1.7","virginica"
"23",136,"6.1","2.2999999999999998","virginica"
"24",128,"4.9000000000000004","1.8","virginica"
"25",83,"3.9","1.2","versicolor"
"26",16,"1.5","0.4","setosa"
"27",99,"3","1.1000000000000001","versicolor"
"28",5,"1.4","0.2","setosa"
"29",80,"3.5","1","versicolor"
"30",93,"4","1.2","versicolor"
"31",105,"5.8","2.2000000000000002","virginica"
"32",131,"6.1","1.9","virginica"
"33",147,"5","1.9","virginica"
"34",17,"1.3","0.4","setosa"
"35",33,"1.5","0.1","setosa"
"36",65,"3.6","1.3","versicolor"
"37",111,"5.0999999999999996","2","virginica"
"38",112,"5.3","1.9","virginica"
"39",20,"1.5","0.3","setosa"
"40",24,"1.7","0.5","setosa"
"41",29,"1.4","0.2","setosa"
"42",137,"5.6","2.4","virginica"
"43",31,"1.6","0.2","setosa"
"44",14,"1.1000000000000001","0.1","setosa"
"45",38,"1.4","0.1","setosa"
"46",70,"3.9","1.1000000000000001","versicolor"
"47",47,"1.6","0.2","setosa"
"48",117,"5.5","1.8","virginica"
"49",8,"1.5","0.2","setosa"
"50",49,"1.5","0.2","setosa"
"51",122,"4.9000000000000004","2","virginica"
"52",101,"6","2.5","virginica"
"53",124,"4.9000000000000004","1.8","virginica"
"54",42,"1.3","0.3","setosa"
"55",141,"5.6","2.4","virginica"
"56",66,"4.4000000000000004","1.4","versicolor"
"57",94,"3.3","1","versicolor"
"58",51,"4.7","1.4","versicolor"
"59",68,"?","1","versicolor"
"60",18,"1.4","0.3","setosa"
"61",72,"4","1.3","versicolor"
"62",10,"1.5","0.1","setosa"
"63",36,"1.2","0.2","setosa"
"64",44,"1.6","0.6","setosa"
"65",6,"1.7","0.4","setosa"
"66",118,"6.7","2.2000000000000002","virginica"
"67",150,"5.0999999999999996","1.8","virginica"
"68",41,"1.3","0.3","setosa"
"69",119,"6.9","2.2999999999999998","virginica"
"70",102,"5.0999999999999996","1.9","virginica"
"71",144,"5.9","2.2999999999999998","virginica"
"72",25,"1.9","0.2","setosa"
"73",115,"5.0999999999999996","2.4","virginica"
"74",43,"1.3","0.2","setosa"
"75",126,"6","1.8","virginica"
"76",127,"4.8","1.8","virginica"
"77",23,"1","0.2","setosa"
"78",92,"4.5999999999999996","1.4","versicolor"
"79",140,"5.4","2.1","virginica"
"80",52,"4.5","1.5","versicolor"
"81",82,"3.7","1","versicolor"
"82",109,"5.8","1.8","virginica"
"83",121,"5.7","2.2999999999999998","virginica"
"84",78,"5","1.7","versicolor"
"85",37,"1.3","0.2","setosa"
"86",146,"5.2","2.2999999999999998","virginica"
"87",26,"1.6","0.2","setosa"
"88",40,"1.5","0.2","setosa"
"89",19,"1.7","0.3","setosa"
"90",74,"4.7","1.2","versicolor"
"91",21,"1.7","0.2","setosa"
"92",129,"5.6","2.1","virginica"
"93",4,"1.5","0.2","setosa"
"94",67,"4.5","1.5","versicolor"
"95",96,"4.2","1.2","versicolor"
"96",45,"1.9","0.4","setosa"
"97",89,"4.0999999999999996","1.3","versicolor"
"98",77,"4.8","1.4","versicolor"
"99",2,"1.4","0.2","setosa"
"100",61,"3.5","1","versicolor"
"101",7,"1.4","0.3","setosa"
"102",53,"4.9000000000000004","1.5","versicolor"
"103",46,"1.4","0.3","setosa"
"104",95,"4.2","1.3","versicolor"
"105",76,"4.4000000000000004","1.4","versicolor"
"106",106,"6.6","2.1","virginica"
"107",28,"1.5","0.2","setosa"
"108",90,"4","1.3","versicolor"
"109",13,"1.4","0.1","setosa"
"110",50,"1.4","0.2","setosa"
"111",114,"5","2","virginica"
"112",34,"1.4","0.2","setosa"
"113",110,"6.1","2.5","virginica"
"114",133,"5.6","2.2000000000000002","virginica"
"115",11,"1.5","0.2","setosa"
"116",139,"4.8","1.8","virginica"
"117",79,"4.5","1.5","versicolor"
"118",104,"5.6","1.8","virginica"
"119",138,"5.5","1.8","virginica"
"120",63,"4","1","versicolor"
"121",116,"5.3","2.2999999999999998","virginica"
"122",1,"1.4","0.2","setosa"
"123",58,"3.3","&","versicolor"
"124",39,"1.3","0.2","setosa"
"125",135,"5.6","1.4","virginica"
"126",125,"5.7","2.1","virginica"
"127",59,"4.5999999999999996","1.3","versicolor"
"128",62,"4.2","1.5","versicolor"
"129",81,"3.8","1.1000000000000001","versicolor"
"130",132,"6.4","2","virginica"
"131",149,"5.4","2.2999999999999998","virginica"
"132",84,"5.0999999999999996","1.6","versicolor"
"133",32,"1.5","0.4","setosa"
"134",120,"5","1.5","virginica"
"135",145,"5.7","2.5","virginica"
"136",3,"1.3","0.2","setosa"
"137",35,"1.5","0.2","setosa"
"138",64,"4.7","1.4","versicolor"
"139",69,"4.5","1.5","versicolor"
"140",30,"1.6","0.2","setosa"
"141",98,"4.3","1.3","versicolor"
"142",108,"6.3","1.8","virginica"
"143",130,"5.8","1.6","virginica"
"144",48,"1.4","0.2","setosa"
"145",91,"4.4000000000000004","1.2","versicolor"
"146",103,"5.9","2.1","virginica"
"147",56,"4.5","1.3","versicolor"
"148",73,"4.9000000000000004","1.5","versicolor"
"149",86,"4.5","1.6","versicolor"
"150",60,"3.9","1.4","versicolor"
